Start Date,Start Time,End Date,End Time,Duration (h)
21/05/2021,10:42:55,21/05/2021,11:36:07,00:53:12
21/05/2021,13:54:38,21/05/2021,15:19:08,01:24:30
24/05/2021,09:15:00,24/05/2021,10:28:00,01:13:00
24/05/2021,11:10:00,24/05/2021,13:05:00,01:55:00
24/05/2021,16:35:18,24/05/2021,18:04:25,01:29:07
03/05/2021,13:22:06,03/05/2021,14:32:22,01:10:16
03/05/2021,14:39:11,03/05/2021,16:22:58,01:43:47
04/05/2021,16:15:27,04/05/2021,16:26:35,00:11:08
05/05/2021,09:18:33,05/05/2021,10:04:11,00:45:38
11/05/2021,10:07:43,11/05/2021,12:05:29,01:57:46
11/05/2021,13:01:39,11/05/2021,13:43:04,00:41:25
13/05/2021,16:05:00,13/05/2021,17:09:29,01:04:29
14/05/2021,10:06:06,14/05/2021,11:00:11,00:54:05
14/05/2021,11:05:50,14/05/2021,12:01:53,00:56:03
14/05/2021,12:59:10,14/05/2021,13:00:21,00:01:11
14/05/2021,13:02:46,14/05/2021,13:02:55,00:00:09
14/05/2021,14:15:30,14/05/2021,15:34:05,01:18:35
14/05/2021,15:36:15,14/05/2021,15:46:26,00:10:11
19/05/2021,11:54:55,19/05/2021,11:59:10,00:04:15
21/05/2021,10:59:41,21/05/2021,11:01:52,00:02:11
21/05/2021,11:30:29,21/05/2021,12:27:46,00:57:17
24/05/2021,14:00:00,24/05/2021,15:45:00,01:45:00
24/05/2021,14:00:51,24/05/2021,15:51:58,01:51:07
26/05/2021,09:00:00,26/05/2021,11:00:00,02:00:00
26/05/2021,14:00:00,26/05/2021,16:30:00,02:30:00
26/05/2021,14:05:41,26/05/2021,16:30:00,02:24:19
28/05/2021,14:00:00,28/05/2021,16:54:00,02:54:00
10/05/2021,13:39:32,10/05/2021,14:24:42,00:45:10
10/05/2021,14:43:54,10/05/2021,14:45:53,00:01:59
10/05/2021,15:07:04,10/05/2021,15:31:54,00:24:50
24/05/2021,11:25:59,24/05/2021,11:42:50,00:16:51
24/05/2021,11:43:00,24/05/2021,11:50:14,00:07:14
06/05/2021,16:13:29,06/05/2021,16:45:13,00:31:44
07/05/2021,13:11:10,07/05/2021,13:51:58,00:40:48
11/05/2021,16:21:58,11/05/2021,16:54:40,00:32:42
12/05/2021,09:24:58,12/05/2021,09:52:49,00:27:51
12/05/2021,13:42:39,12/05/2021,14:11:24,00:28:45
12/05/2021,14:49:53,12/05/2021,14:50:31,00:00:38
13/05/2021,13:49:57,13/05/2021,14:35:22,00:45:25
13/05/2021,15:42:22,13/05/2021,15:53:32,00:11:10
13/05/2021,16:00:31,13/05/2021,16:04:33,00:04:02
21/05/2021,13:00:00,21/05/2021,14:03:00,01:03:00
21/05/2021,14:04:00,21/05/2021,15:35:22,01:31:22
21/05/2021,15:36:00,21/05/2021,16:47:00,01:11:00
21/05/2021,16:48:00,21/05/2021,18:00:00,01:12:00
24/05/2021,13:16:07,24/05/2021,13:54:58,00:38:51
24/05/2021,16:01:32,24/05/2021,16:15:19,00:13:47
25/05/2021,10:58:25,25/05/2021,11:38:00,00:39:35
25/05/2021,13:21:37,25/05/2021,13:45:35,00:23:58
25/05/2021,14:09:10,25/05/2021,14:18:41,00:09:31
25/05/2021,14:23:02,25/05/2021,15:02:20,00:39:18
25/05/2021,15:04:18,25/05/2021,15:46:58,00:42:40
26/05/2021,09:24:21,26/05/2021,09:35:36,00:11:15
03/05/2021,13:30:00,03/05/2021,16:35:00,03:05:00
04/05/2021,13:30:00,04/05/2021,13:55:00,00:25:00
06/05/2021,13:42:00,06/05/2021,14:00:16,00:18:16
12/05/2021,08:30:00,12/05/2021,09:38:00,01:08:00
12/05/2021,10:00:00,12/05/2021,10:50:15,00:50:15
13/05/2021,09:00:00,13/05/2021,10:18:00,01:18:00
03/05/2021,14:32:00,03/05/2021,15:00:00,00:28:00
03/05/2021,15:00:00,03/05/2021,15:34:00,00:34:00
03/05/2021,15:40:00,03/05/2021,16:05:00,00:25:00
03/05/2021,16:20:00,03/05/2021,16:42:00,00:22:00
06/05/2021,15:02:00,06/05/2021,15:43:58,00:41:58
10/05/2021,10:10:41,10/05/2021,11:52:45,01:42:04
03/05/2021,09:42:50,03/05/2021,11:52:17,02:09:27
03/05/2021,13:08:43,03/05/2021,13:43:23,00:34:40
03/05/2021,15:12:08,03/05/2021,16:52:13,01:40:05
04/05/2021,09:00:39,04/05/2021,09:00:42,00:00:03
04/05/2021,09:00:45,04/05/2021,11:40:50,02:40:05
04/05/2021,09:45:04,04/05/2021,12:14:20,02:29:16
04/05/2021,13:13:34,04/05/2021,16:03:00,02:49:26
04/05/2021,13:18:29,04/05/2021,14:49:39,01:31:10
04/05/2021,14:50:16,04/05/2021,17:10:45,02:20:29
04/05/2021,14:52:29,04/05/2021,16:51:35,01:59:06
04/05/2021,17:10:50,04/05/2021,18:08:24,00:57:34
05/05/2021,09:36:55,05/05/2021,11:04:49,01:27:54
05/05/2021,10:32:36,05/05/2021,10:48:57,00:16:21
05/05/2021,13:07:21,05/05/2021,13:33:48,00:26:27
06/05/2021,13:45:59,06/05/2021,14:45:24,00:59:25
10/05/2021,15:45:34,10/05/2021,16:28:44,00:43:10
12/05/2021,09:30:00,12/05/2021,10:28:00,00:58:00
